sports_book,player_name,category,value,over,under
DraftKing,Anfernee Simons,threes,3.5,+124,−160
DraftKing,Jerami Grant,threes,2.5,+100,−130
DraftKing,Michael Porter Jr.,threes,2.5,+114,−145
DraftKing,Jamal Murray,threes,2.5,+140,−180
DraftKing,Shaedon Sharpe,threes,1.5,−154,+120
DraftKing,Nikola Jokic,threes,1.5,−115,−115
DraftKing,Deni Avdija,threes,1.5,+124,−160
DraftKing,Toumani Camara,threes,1.5,+124,−160
DraftKing,Aaron Gordon,threes,0.5,−238,+180
DraftKing,Malik Monk,threes,2.5,−115,−115
DraftKing,Austin Reaves,threes,2.5,+100,−130
DraftKing,De'Aaron Fox,threes,2.5,+130,−166
DraftKing,LeBron James,threes,1.5,−180,+140
DraftKing,Keegan Murray,threes,1.5,−154,+120
DraftKing,D'Angelo Russell,threes,1.5,−120,−110
DraftKing,Kevin Huerter,threes,1.5,−115,−115
DraftKing,Dalton Knecht,threes,1.5,+114,−145
DraftKing,Rui Hachimura,threes,1.5,+120,−154
DraftKing,Keon Ellis,threes,1.5,+130,−166
DraftKing,Max Christie,threes,0.5,−210,+160
DraftKing,Domantas Sabonis,threes,0.5,−160,+124
DraftKing,Anthony Davis,threes,0.5,−140,+110
DraftKing,DeMar DeRozan,threes,0.5,−130,+100
DraftKing,Nikola Jokic,assists,8.5,−140,+110
DraftKing,Jamal Murray,assists,5.5,−154,+120
DraftKing,Anfernee Simons,assists,5.5,+105,−135
DraftKing,Scoot Henderson,assists,4.5,−125,−105
DraftKing,Aaron Gordon,assists,3.5,+120,−154
DraftKing,Deni Avdija,assists,2.5,−120,−110
DraftKing,Shaedon Sharpe,assists,2.5,−120,−110
DraftKing,Jerami Grant,assists,2.5,+110,−140
DraftKing,LeBron James,assists,8.5,−105,−125
DraftKing,De'Aaron Fox,assists,5.5,−145,+114
DraftKing,Domantas Sabonis,assists,5.5,−130,+100
DraftKing,Malik Monk,assists,5.5,−105,−125
DraftKing,Austin Reaves,assists,4.5,−130,+100
DraftKing,DeMar DeRozan,assists,3.5,−135,+105
DraftKing,D'Angelo Russell,assists,3.5,−115,−115
DraftKing,Anthony Davis,assists,3.5,+135,−175
DraftKing,Nikola Jokic,points,29.5,−105,−125
DraftKing,Anfernee Simons,points,19.5,−120,−110
DraftKing,Jamal Murray,points,19.5,−115,−115
DraftKing,Michael Porter Jr.,points,17.5,−105,−125
DraftKing,Jerami Grant,points,16.5,−120,−110
DraftKing,Shaedon Sharpe,points,16.5,−110,−120
DraftKing,Aaron Gordon,points,14.5,−105,−125
DraftKing,Deandre Ayton,points,13.5,−105,−125
DraftKing,Christian Braun,points,11.5,−120,−110
DraftKing,Deni Avdija,points,11.5,−110,−120
DraftKing,Russell Westbrook,points,11.5,+100,−130
DraftKing,Scoot Henderson,points,9.5,−120,−110
DraftKing,Toumani Camara,points,8.5,−125,−105
DraftKing,Julian Strawther,points,8.5,−115,−115
DraftKing,Anthony Davis,points,26.5,−105,−125
DraftKing,De'Aaron Fox,points,23.5,−125,−105
DraftKing,LeBron James,points,22.5,−110,−120
DraftKing,DeMar DeRozan,points,20.5,−110,−120
DraftKing,Domantas Sabonis,points,19.5,−120,−110
DraftKing,Malik Monk,points,17.5,−105,−125
DraftKing,Austin Reaves,points,16.5,−110,−120
DraftKing,Rui Hachimura,points,12.5,−110,−120
DraftKing,Keegan Murray,points,12.5,−105,−125
DraftKing,D'Angelo Russell,points,9.5,+100,−130
DraftKing,Kevin Huerter,points,8.5,−125,−105
DraftKing,Max Christie,points,7.5,−105,−125
DraftKing,Dalton Knecht,points,6.5,−130,+100
DraftKing,Keon Ellis,points,5.5,−135,+105
DraftKing,Nikola Jokic,rebounds,12.5,−120,−110
DraftKing,Deandre Ayton,rebounds,9.5,−115,−115
DraftKing,Michael Porter Jr.,rebounds,6.5,+110,−140
DraftKing,Aaron Gordon,rebounds,5.5,−130,+100
DraftKing,Deni Avdija,rebounds,5.5,+120,−154
DraftKing,Toumani Camara,rebounds,4.5,−140,+110
DraftKing,Christian Braun,rebounds,4.5,+124,−160
DraftKing,Shaedon Sharpe,rebounds,3.5,−160,+124
DraftKing,Jamal Murray,rebounds,3.5,−145,+114
DraftKing,Jerami Grant,rebounds,3.5,+110,−140
DraftKing,Anfernee Simons,rebounds,2.5,−160,+124
DraftKing,Domantas Sabonis,rebounds,13.5,+105,−135
DraftKing,Anthony Davis,rebounds,11.5,−120,−110
DraftKing,LeBron James,rebounds,7.5,−115,−115
DraftKing,Keegan Murray,rebounds,6.5,+100,−130
DraftKing,Rui Hachimura,rebounds,5.5,+114,−145
DraftKing,De'Aaron Fox,rebounds,4.5,−115,−115
DraftKing,Malik Monk,rebounds,3.5,−140,+110
DraftKing,DeMar DeRozan,rebounds,3.5,−105,−125
DraftKing,Austin Reaves,rebounds,3.5,+114,−145
DraftKing,Max Christie,rebounds,3.5,+124,−160
